travel_order_sentence,start,end,middle
Je pars de St-Varent pour aller à Valenciennes,St-Varent,Valenciennes,
Je dois voyager à Rue de Quatrefages ah non je voulais dire Pont au Double pardon et je suis à Rue de Villafranca là,Rue de Villafranca,Pont au Double,
Pour aller à Square du Périgord je dois traverser Rue Boulitte Rue Plumet je voulais dire et je débute à Rue Guy Môquet,Rue Guy Môquet,Square du Périgord,Rue Plumet
Permet moi de me rendre de Avenue de la Grande Armée à Passage Bourgoin en passant par Place de la Concorde,Avenue de la Grande Armée,Passage Bourgoin,Place de la Concorde
Je dois voyager à St marceau ah non je voulais dire Evillers pardon et je suis à Chaudardes là,Chaudardes,Evillers,
Commence Angoulins-sur-Mer continue Villeneuve-Loubet-Plage termine Anor,Angoulins-sur-Mer,Anor,Villeneuve-Loubet-Plage
Je veux plus aller à Rai-Aube maintenant je veux aller à Xertigny avec un detour à Pouzauges en allant de Marolles-en-Hurepoix,Marolles-en-Hurepoix,Xertigny,Pouzauges
Comment on va de Lourdes à Castelnaudary,Lourdes,Castelnaudary,
Je veux aller de Place Joachim du Bellay à Rue Lebouis mais je dois d'abord aller à Rue Bréguet,Place Joachim du Bellay,Rue Lebouis,Rue Bréguet
J'ai un colis à récupérer à Rue Jean Robert en allant de Rue de la Mire à Rue Jeanne Jugan,Rue de la Mire,Rue Jeanne Jugan,Rue Jean Robert
Position actuelle Rue Henry de Bournazel direction Villa Jean Godard Hannon je voulais dire Voie Cg/15,Rue Henry de Bournazel,Voie Cg/15,
Position actuelle Rue Saint-Germain l'Auxerrois direction Rue Paul Hervieu Hannon je voulais dire Rue du Colonel Oudot,Rue Saint-Germain l'Auxerrois,Rue du Colonel Oudot,
Chemin vers Lille CHR,,Lille CHR,
J'ai besoin d'un itinéraire Alors on va dire départ Place Gambetta arrivée Impasse Hautefeuille ah non non Rue de la Folie-Méricourt pardon mais faut passer par Impasse Hautefeuille,Place Gambetta,Rue de la Folie-Méricourt,Impasse Hautefeuille
Calcule un trajet mais pas direct Je veux partir de Montigny-Beauchamp ensuite Roanne et pour finir Pignans,Montigny-Beauchamp,Pignans,Roanne
Je veux aller à Coussey mais pas directement d'abord je pars de Barentin-Embranchement et je dois passer par Dontrien,Barentin-Embranchement,Coussey,Dontrien
Je pars de Lille CHR pour aller à Urt,Lille CHR,Urt,
Je dois aller à Donjeux de Châteaulin,Châteaulin,Donjeux,
Comment va de Surmont St priest la roche,Surmont,St priest la roche,
Le métro est en panne à Rue Albert Bayet du coup je dois partir de Rue des Grands Augustins pour aller à Voie Cp/12,Rue des Grands Augustins,Voie Cp/12,
Le mesnil le roi par Griselles Hannon Espedaillac par Magnac lavalette villars pour Marmont pachas,Espedaillac,Marmont pachas,Magnac lavalette villars
Je suis près de Guiseniers à côté du supermarché je dois impérativement passer à la pharmacie de Virac avant d'me rendre à Tournon sur rhone,Guiseniers,Tournon sur rhone,Virac
On se capte à Meximieux-Pérouges puis direction Basse-Ham avant de finir à Mignaloux-Nouaillé ça te va,Meximieux-Pérouges,Mignaloux-Nouaillé,Basse-Ham
J'habite à Rue Quincampoix je dois passer par Avenue du Ranelagh pour aller à Rue de Palestine,Rue Quincampoix,Rue de Palestine,Avenue du Ranelagh
J'ai rendez-vous à Place Charles Vallin à 14h puis je dois aller à Passage des Panoramas je suis à Place de Barcelone,Place de Barcelone,Passage des Panoramas,Place Charles Vallin
Comment rejoindre Impasse des Peintres depuis Rue de Tolbiac,Rue de Tolbiac,Impasse des Peintres,
Pas Landrecies je veux dire de Le Grand-Jardin pour aller Jussey et du coup je passe pas par Plougonver,Le Grand-Jardin,Jussey,
Je veux me rendre chez mon ami qui habite à Voie Gc/13 en partant de Rue du Commandeur mais avant je vais à Rue Cassini,Rue du Commandeur,Voie Gc/13,Rue Cassini
Je pars de Chatte je vais comment à Rosey,Chatte,Rosey,
De Vouziers à Héricy Crépy-en-Valois et St-Priest-Taurion sont barrés,Vouziers,Héricy,
Je pars de Passage Vallet je vais à Passage Savart,Passage Vallet,Passage Savart,
Trop de bouchons vers Le Teich je fais je prends Valenciennes Pérenchies,Valenciennes,Pérenchies,
Je veux me rendre à Rue Lécuyer en passant par Rue de la Parcheminerie alors que je suis actuellement à Rue du Père Corentin,Rue du Père Corentin,Rue Lécuyer,Rue de la Parcheminerie
Je veux pas faire Place Skanderbeg ou Passage des Entrepreneurs maintenant c'est Rue Nationale via Rue de l'Assomption puis Rue de Montevideo,Rue Nationale,Rue de Montevideo,Rue de l'Assomption
De Cruas excuse-moi donc Gannes à Surdon,Gannes,Surdon,
Verneusses Moulin neuf en suivant le chemin de Serrouville,Verneusses,Moulin neuf,Serrouville
Le chemin St-Cyr Thann-St-Jacques s'il te plaît,St-Cyr,Thann-St-Jacques,
Je vis à Mareuil sur cher je cherche à partir de la ville la plus proche qui est Vincent froideville pour aller à Hunspach mais je souhaiterais passer par St pe de leren pour voir ma famille,Vincent froideville,Hunspach,St pe de leren
Je pars de Villa Ornano pour aller à Voie Cg/15,Villa Ornano,Voie Cg/15,
Si je suis à Bazoches et que je dois aller jusqu'a Ebersheim tu peux me faire passer par Arques (Pas-de-Calais) c'est important pour moi,Bazoches,Ebersheim,Arques (Pas-de-Calais)
Je dois passer au travail situé à Guilly pour rejoindre mon appartement à La cabanasse et je suis actuellement à St anthot,St anthot,La cabanasse,Guilly
Je pensais aller Rue Merlin mais en fait je pars de Voie Cd/15 je récupère un truc à Rue de la Gare de Reuilly puis direction Rue de Palestine,Voie Cd/15,Rue de Palestine,Rue de la Gare de Reuilly
Je vis à Audrix je cherche à partir de la ville la plus proche qui est St gervais les bains pour aller à Ste mere mais je souhaiterais passer par Glatens pour voir ma famille,St gervais les bains,Ste mere,Glatens
Passe par Ouanne entre Royeres et Montchauvet,Royeres,Montchauvet,Ouanne
Quai Saint-Bernard à partir de Rue Marietta Alboni,Rue Marietta Alboni,Quai Saint-Bernard,
Si je suis à Fourchambault et que je dois aller jusqu'a Mazières-Verruyes tu peux me faire passer par Pougny-Chancy c'est important pour moi,Fourchambault,Mazières-Verruyes,Pougny-Chancy
Metz-Ville jusque Mignaloux-Nouaillé jusque Jussey désolé,Metz-Ville,Jussey,
Est-ce possible d'aller à Vélines depuis Presles-Courcelles avec un arrêt à Montceau-les-Mines,Presles-Courcelles,Vélines,Montceau-les-Mines
Je pars de Moyeuvre-Grande vers Lépanges et Mazières-Verruyes,Moyeuvre-Grande,Mazières-Verruyes,Lépanges
Mon GPS indique Voie Bj/18 mais je veux aller de Rue Saint-Germain l'Auxerrois à Rue Gît-Le-Coeur Pont au Double pardon,Rue Saint-Germain l'Auxerrois,Pont au Double,
Je pars de Changis-St-Jean vers St-Hilaire-de-Chaléons et Morcenx,Changis-St-Jean,Morcenx,St-Hilaire-de-Chaléons
Mon GPS indique Reignier mais je veux aller de Surdon à La Croix-de-Méan Naintré-les-Barres pardon,Surdon,Naintré-les-Barres,
Je suis fatigué et je vais aller à la maison qui est à Remereville mais je dois d'abord aller au travail puis partir de St priest la roche pour aller à la maison,St priest la roche,Remereville,
Je suis en retard faut que j'aille de Schopperten à Wattignies la victoire,Schopperten,Wattignies la victoire,
Je dois me déplacer vers Rue Albin Haller afin de me rendre à Impasse des Peintres,Rue Albin Haller,Impasse des Peintres,
Comment on va de Châteaulin à Héricy,Châteaulin,Héricy,
Comment va de La Bachellerie Étriché-Châteauneuf,La Bachellerie,Étriché-Châteauneuf,
Je dois aller à Andance là mais avant ça je dois aller à Virollet et j'habite à Le crotoy donc je pars de là,Le crotoy,Andance,Virollet
La fête à Fouvent st andoche est annulé je pars de Etevaux pour rejoindre Berganty,Etevaux,Berganty,
Je suis perdu entre Rue de Candie et Voie Ez/20 je veux juste Rue Lisfranc Rue Henri Moissan,Rue Lisfranc,Rue Henri Moissan,
Je veux faire le trajet Baliros Hohrod,Baliros,Hohrod,
J'ai fait Salaise ce matin Voyenne à midi maintenant calcule-moi Bailleul-Sir-Berthoult vers Boussay-La Bruffière,Bailleul-Sir-Berthoult,Boussay-La Bruffière,
On se capte à Rue Gay-Lussac puis direction Rue du Général Bertrand avant de finir à Square Claude Debussy ça te va,Rue Gay-Lussac,Square Claude Debussy,Rue du Général Bertrand
Chamigny vers Luneau non Remereville,Chamigny,Remereville,
La fête à Marck est annulé je pars de Dunkerque-Port-Ouest pour rejoindre Pérenchies,Dunkerque-Port-Ouest,Pérenchies,
Torpes-Boussières ah non de Menton-Garavan vers Bourg-St-Maurice,Menton-Garavan,Bourg-St-Maurice,
Espeyrac,,Espeyrac,
Comment aller de Mayet jusqu'à Wattignies la victoire,Mayet,Wattignies la victoire,
Je suis à Cité Leclaire faut se diriger vers Rue Alfred Durand-Claye puis Place Joachim du Bellay,Cité Leclaire,Place Joachim du Bellay,Rue Alfred Durand-Claye
Position Boussay-La Bruffière destination finale Étriché-Châteauneuf,Boussay-La Bruffière,Étriché-Châteauneuf,
Emmène-moi à Rue de Rohan non je voulais dire à Cour Jacques Viguès et là je suis à Impasse des Trois Soeurs,Impasse des Trois Soeurs,Cour Jacques Viguès,
Hey tu peux me déposer à Souterrain Berger Est Ah et sur le chemin faut qu'on s'arrête à Place Constantin Pecqueur Je t'attends à Rue Jeanne Jugan,Rue Jeanne Jugan,Souterrain Berger Est,Place Constantin Pecqueur
Trace-moi Avenue du Square Voie Bh/17,Avenue du Square,Voie Bh/17,
Tu me disais Belvezet hier Vincey ce matin mais là je veux juste aller de St-Armel à Donjeux,St-Armel,Donjeux,
Je voudrais un billet de train pour Ussy sur marne non je voulais dire Tanis et je partirai de Planioles,Planioles,Tanis,
Faut que je parte de Chateau gaillard pour aller à Remereville,Chateau gaillard,Remereville,
Trop de bouchons vers Rue Fleury je fais je prends Rue Pelée Rue Albin Haller,Rue Pelée,Rue Albin Haller,
Je pars de Voie Ee/20 dans une heure pause déjeuner à Voie Cx/18 pour arriver à Rue Joseph de Maistre ce soir,Voie Ee/20,Rue Joseph de Maistre,Voie Cx/18
T'es disponible pour me conduire je pars de Le monteil faut que je passe par Le poislay avant d'arriver à La cabanasse,Le monteil,La cabanasse,Le poislay
J'ai un parcours un peu particulier Maule pour commencer Épehy au milieu et Montigny-Beauchamp pour terminer,Maule,Montigny-Beauchamp,Épehy
Trace-moi Avenue Anatole France Rue Giffard,Avenue Anatole France,Rue Giffard,
Trouve-moi une route je suis actuellement à Rue Bréa ah oui et avant d'arriver à Rue Bosquet je dois absolument faire un stop à Rue Jean Cottin,Rue Bréa,Rue Bosquet,Rue Jean Cottin
J'ai rendez-vous à Grand bourgtheroulde à 14h puis je dois aller à May sur orne je suis à Fallon,Fallon,May sur orne,Grand bourgtheroulde
De Rue Quincampoix à Rue Lécuyer avec un crochet à Passage du Cheval Blanc avant je voulais aller à Rue Rataud mais finalement je ne vais pas y aller,Rue Quincampoix,Rue Lécuyer,Passage du Cheval Blanc
Chemin des Pépinières depuis Rue Xavier Privas,Rue Xavier Privas,Chemin des Pépinières,
Guide-moi de Rue Henry de Bournazel à Boulevard Lannes,Rue Henry de Bournazel,Boulevard Lannes,
Je veux pas faire Avenue Stéphane Mallarmé ou Place Fernand Mourlot maintenant c'est Villa Nouvelle via Promenade Edouard Glissant puis Rue de Castellane,Villa Nouvelle,Rue de Castellane,Promenade Edouard Glissant
Position Voie Co/12 destination finale Avenue Edouard Vaillant,Voie Co/12,Avenue Edouard Vaillant,
Il me faudrait Rue Montmartre direction Rue de Monbel,Rue Montmartre,Rue de Monbel,
Comment aller de Villa Ornano jusqu'à Rue des Gâtines,Villa Ornano,Rue des Gâtines,
J'ai rendez-vous Rue de la Jussienne je pars de Avenue du Square,Avenue du Square,Rue de la Jussienne,
Je pars de Rue Joseph de Maistre dans une heure pause déjeuner à Impasse du Petit Modèle pour arriver à Rue de Montevideo ce soir,Rue Joseph de Maistre,Rue de Montevideo,Impasse du Petit Modèle
Je dois absolument croiser Livarot pays d auge pour aller à Isques en partant de Aspin en lavedan,Aspin en lavedan,Isques,Livarot pays d auge
Emmène-moi à St julien le roux non je voulais dire à Espeyrac et là je suis à Guincourt,Guincourt,Espeyrac,
Comment aller à Roissy-Aéroport-Charles-de-Gaulle 2-TGV (RER),,Roissy-Aéroport-Charles-de-Gaulle 2-TGV (RER),
J'ai une course à faire Ribécourt est sur mon trajet de Maule à Bar-sur-Aube,Maule,Bar-sur-Aube,Ribécourt
La fête à Frouard est annulé je pars de St-Cyr pour rejoindre Givet,St-Cyr,Givet,
Brimeux Hannon de Metz-Ville vers St-Martin-le-Beau,Metz-Ville,St-Martin-le-Beau,
Je pars de Areines dans une heure pause déjeuner à Beauvallon pour arriver à Oissel ce soir,Areines,Oissel,Beauvallon
Je me trouve Guincourt objectif Servon melzicourt,Guincourt,Servon melzicourt,
Faut passer à Sélestat entre Lérouville et Poliénas pour récup un truc,Lérouville,Poliénas,Sélestat
Je suis à Aspin en lavedan et je veux prendre le chemin qui passe par Aigues vives pour aller à Distroff,Aspin en lavedan,Distroff,Aigues vives
J'ai rendez-vous Pont au Double je pars de Rue Henri Verneuil,Rue Henri Verneuil,Pont au Double,
Nouveau trajet alors comment dire Je pars de Montsauche les settons je dois finir à Verneusses mais avant la fin je dois voir quelqu'un à Noircourt,Montsauche les settons,Verneusses,Noircourt
Avenue de la Bourdonnais Allée Adrienne Lecouvreur,Avenue de la Bourdonnais,Allée Adrienne Lecouvreur,
Commence Millencourt continue Naves termine La collancelle,Millencourt,La collancelle,Naves
Je suis à Metzeral à Lourdes et je dois aller pas à Aulnay-sous-Bois mais à Lille CHR,Lourdes,Lille CHR,
Je dois me déplacer vers Conflans-Ste-Honorine afin de me rendre à La Bachellerie,Conflans-Ste-Honorine,La Bachellerie,
J'aimerais aller devant Naintré-les-Barres et là je pars de chez moi à Blodelsheim,Blodelsheim,Naintré-les-Barres,
J'habite à Anizy-Pinon je dois aller à Audun-le-Roman mais je dois passer par Brignac en partant de Villereversure,Villereversure,Audun-le-Roman,Brignac
Il me faudrait Brantigny direction Laval en belledonne,Brantigny,Laval en belledonne,
Laval en belledonne jusque Laroin jusque Veney désolé,Laval en belledonne,Veney,
Je veux pas faire Bayet ou Beauchemin maintenant c'est St maximin la ste baume via Beurieres puis Laneuville au pont,St maximin la ste baume,Laneuville au pont,Beurieres
Passe par Oderen entre St-Aubin (Jura) et Mazières-Verruyes,St-Aubin (Jura),Mazières-Verruyes,Oderen
Je dois partir de Rue Paul et Jean Lerolle merde de Rue Lebouis pour aller à Cité Hittorf fait un petit détour à Voie At/14,Rue Lebouis,Cité Hittorf,Voie At/14
On va à Rue de Savies Rue de Villafranca et on part de Avenue des Pavillons,Avenue des Pavillons,Rue de Villafranca,
Hey tu peux me déposer à Baslieux ah et sur le chemin faut qu'on s'arrête à Jausiers,,Baslieux,Jausiers
Aller à Rue du Colonel Oudot,,Rue du Colonel Oudot,
Aller à Balesta en empruntant le chemin de Lempdes Bouillac en partant de Villemorien,Villemorien,Balesta,Bouillac
Faut aller où pour faire Graffenwald St-Armel,Graffenwald,St-Armel,
Je dois me rendre chez ma mère là elle habite à Place de Barcelone mais là je suis à Rue Joseph de Maistre et avant ça j'ai besoin de passer devant un magasin qui est à Voie Ee/20,Rue Joseph de Maistre,Place de Barcelone,Voie Ee/20
Je veux me rendre chez mon ami qui habite à Voie Gc/13 en partant de Villa Nouvelle mais avant je vais à Rue Robineau,Villa Nouvelle,Voie Gc/13,Rue Robineau
Aller à Rue Coysevox en empruntant le parcours de Rue du Conservatoire Rue Brisemiche en partant de Rue de la Folie-Méricourt,Rue de la Folie-Méricourt,Rue Coysevox,Rue Brisemiche
Le trajet c'est Cranves sales vers Brantigny plus besoin de passer par Beauziac,Cranves sales,Brantigny,
C'était Les belleville hier aujourd'hui c'est St maximin la ste baume pause Le puy terminus Le monteil,St maximin la ste baume,Le monteil,Le puy
Mon ami m'attendait à Bassens-Appontements mais finalement il sera à La Suze sur ma route de Marolles-en-Hurepoix à Wimille-Wimereux,Marolles-en-Hurepoix,Wimille-Wimereux,La Suze
C'est possible de calculer ça je suis devant Place Gambetta je dois récupérer un colis qui se trouve dans Voie Cm/12 pour l'apporter à Rue Nationale,Place Gambetta,Rue Nationale,Voie Cm/12
Trop de bouchons vers Rue Frédéric Magisson je prends Impasse Salembrière Rue Giffard,Impasse Salembrière,Rue Giffard,
Je pars de Espeyrac je vais à Tanis,Espeyrac,Tanis,
J'ai rendez-vous à Dompierre-sur-Mer à 14h puis je dois aller à Epernay je suis à Barentin-Embranchement,Barentin-Embranchement,Epernay,Dompierre-sur-Mer
Comment aller à Chassagne st denis en passant par Savigneux ah enfaite je veux aller Aulnay la riviere en passant par Armbouts cappel en partant de Vincent froideville,Vincent froideville,Aulnay la riviere,Armbouts cappel
Je pars de Graffenwald je vais à Bessines,Graffenwald,Bessines,
Mon GPS indique Échirolles mais je veux aller de Frynaudour à Lizy-sur-Ourcq Pithiviers pardon,Frynaudour,Pithiviers,
